Country,Cluster,PC1,PC2
0,0,-6.086493992973491,4.0748933126446625
1,2,0.3386300352100098,1.4696914402475416
2,0,-1.480552728123778,-2.8105589831816142
3,2,0.3079191428133003,1.1676087877514807
4,1,1.693214142272414,-1.8726025102300745
5,2,0.7438017616059116,-0.3228512260323446
6,0,-3.3611014375419277,0.9885966997222939
7,0,-1.4315372699473279,-1.4158136691480774
8,2,-0.09183036172040507,2.229019334968713
9,2,-1.265044092402549,1.9288135932686525
10,2,-0.06760210676080215,0.9398007280685736
11,2,-0.4328393269186159,1.5880628084417365
12,1,2.5077410814724326,2.0334733712685886
13,1,3.1238291094727284,0.6550606428554977
14,1,1.3432519437454766,-0.7013269792514218
15,0,-3.271121042636971,-0.8346073562173973
16,2,-0.4672550587132601,-0.7617124861457835
17,2,-0.5442104344169011,0.6794146768491147
18,1,1.635786434492829,-1.0047891052915767
19,1,3.913764642061481,-0.09110919586747675
20,0,-2.6617327119713354,-2.755618641474057
21,1,3.9185663801325634,0.5320301713328781
22,0,-2.5497595293431488,-1.3118758430220907
23,0,-1.0253391920292472,-3.0001162430926636
24,2,0.1624266980198352,1.3598729494863433
25,2,0.623795840663503,0.6516431345856807
26,0,-3.0353274151891907,-0.7067345212104759
27,2,0.9088277678302872,1.675276054169715
28,2,-0.6003624477975477,1.7909765139772407
29,1,3.4136962946120977,-1.4697262024147888
30,2,1.0901434074469474,1.5970795140373337
31,2,0.44584994071402356,-1.3452408428336162
32,0,-4.356516286119623,-1.2601715567988216
33,2,-2.1311678677448325,1.656475288736344
34,2,0.7943968601715437,1.3131395707264346
35,2,-0.701464670282935,-1.0588056736843094
36,1,3.1542858085869785,-0.9283129572359444
37,0,-3.001221214916034,-1.36590945644034
38,1,4.89063304285544,0.1523539998840474
39,2,-0.5817120204667271,0.41817397172723986
40,2,-2.295966736838582,1.3437206421008652
41,1,5.789988843993515,0.04967160771046974
42,1,2.3246443653843256,-1.046563853748403
43,2,-2.1174165463932537,0.9056622619167409
44,2,1.0980772409064543,-0.28248274287254505
45,2,-0.7338042939584564,-0.25429369549083025
46,1,5.1937879284569535,-0.926737313045432
47,0,-3.675385625465615,-0.019783168249665466
48,1,2.9874587064690252,-0.5605564958349984
49,1,2.0596489916476437,-0.22893903029215482
50,2,-0.804508879392233,-0.3639111828133813
51,0,-5.692893120972921,-2.4993601445579037
