Country,Cluster,PC1,PC2
Afghanistan,2,-6.072579209753944,4.292896017720382
Angola,0,0.4737108973946039,1.643124369835905
Bangladesh,2,-1.9214847222949227,-3.280540498189633
Benin,0,0.5690507459672185,1.1166232277291308
Bhutan,1,1.304271931692802,-2.6892082753407354
Bolivia,0,0.5796720955139955,-0.6645677205115642
Burkina Faso,2,-3.240951865305877,1.177264170181156
Cambodia,2,-1.943681839501668,-2.043893899781016
Central African Republic,0,0.3764825575641266,2.376042096427221
Chad,0,-0.8235157412567917,2.1197314686903996
Comoros,0,0.19838804511651079,0.9370156121923665
"Congo, Dem. Rep.",0,-0.18532659176055782,1.5647725794958038
"Congo, Rep.",1,2.812912779292165,1.824631123059542
"Egypt, Arab Rep.",1,3.2365442029556526,0.3209635551428967
Eswatini,0,0.9751164655490121,0.04877226448955407
Ethiopia,2,-3.314523111141973,-0.8378630460544166
Ghana,0,-0.5902689792914967,-0.5313597124954541
Guinea,0,-0.32903792244521474,0.628775701604412
Honduras,1,1.42274462355462,-1.3805149846032723
Jordan,1,4.0812241652749375,-0.2944538390539045
Kenya,2,-2.960519644637446,-2.278927367700252
Kyrgyz Republic,1,4.156631394301918,0.4924917198090357
Lao PDR,2,-2.882464874738094,-1.5454191413967209
Lesotho,2,-1.325891499130104,-2.6043947418843625
Liberia,0,0.3590688099610601,1.2684411437289873
Madagascar,0,0.6835205109720391,0.34301702883395313
Malawi,2,-3.220498772082842,-0.791235515189304
Mali,0,1.221457755538126,1.5626284166133482
Mauritania,0,-0.29965917653297125,1.8984032770493058
Morocco,1,3.2986436524837317,-1.240667381591931
Mozambique,0,1.2229276249752095,1.3193250638807779
Myanmar,0,0.17214922402565253,-1.8320107792013411
Nepal,2,-4.945814684308208,-1.2152166330805694
Niger,0,-1.9996354090740422,1.6575339879647837
Nigeria,0,1.1318622955191109,1.7020604720214003
Papua New Guinea,0,-0.8090874512259584,-1.1951164662131704
Philippines,1,3.197230999978501,-1.4275132167784084
Rwanda,2,-3.3014543246675845,-0.916014499722768
Samoa,1,5.236408702156477,0.0026042154818294483
Senegal,0,-0.7152444353546372,0.4908674229395068
Sierra Leone,0,-2.0979761932372596,1.346817521776645
Sri Lanka,1,6.122149787037898,-0.21592100462114058
Tajikistan,1,2.088005420243062,-1.7066924461791269
Tanzania,0,-1.9951657439910262,1.0596980221518613
Timor-Leste,0,0.7774325378036518,-0.32658766269770717
Togo,0,-0.6392042232208143,0.026999309670715833
Tunisia,1,5.40390672646533,-0.8433437518455537
Uganda,2,-3.7196012374376792,0.0395591196857309
Uzbekistan,1,2.938301098379144,-0.17072096247288757
Vanuatu,1,2.3588608159120454,0.3021161524371691
Zambia,0,-0.8652525736197685,0.0012207062153180971
Zimbabwe,2,-6.199835639617704,-1.5322122202238992
